User_ID,Age,Gender,Occupation,Device_Type,Daily_Phone_Hours,Social_Media_Hours,Work_Productivity_Score,Sleep_Hours,Stress_Level,App_Usage_Count,Caffeine_Intake_Cups,Weekend_Screen_Time_Hours,stress_target
U1,58,Male,Professional,Android,1.3,6.7,6,8.8,4,42,1,8.7,baixo estresse
U2,25,Male,Professional,Android,1.2,1.5,5,6.4,1,51,3,5.1,sem estresse
U3,19,Male,Student,iOS,5.3,5.7,5,9.0,4,14,5,6.3,baixo estresse
U4,35,Female,Business Owner,iOS,5.8,2.5,2,5.7,3,36,6,12.8,baixo estresse
U5,33,Male,Freelancer,Android,7.9,1.3,4,5.7,3,37,5,9.9,baixo estresse
U6,32,Female,Student,Android,10.9,4.2,9,6.3,7,34,5,3.6,estressado
U7,26,Male,Student,iOS,5.6,6.1,8,6.7,3,5,3,2.9,baixo estresse
U8,24,Male,Freelancer,iOS,8.5,1.9,4,7.8,3,6,6,12.8,baixo estresse
U9,52,Female,Business Owner,Android,9.4,2.5,3,6.4,4,17,3,3.1,baixo estresse
U10,23,Female,Student,iOS,2.8,1.1,1,4.5,2,7,0,2.7,sem estresse
U11,55,Other,Professional,Android,8.3,1.1,8,5.7,9,59,1,7.3,muito estressado
U12,45,Other,Business Owner,Android,12.0,6.7,6,4.9,10,12,1,9.2,muito estressado
U13,20,Female,Business Owner,iOS,11.1,5.6,3,5.0,4,22,6,4.2,baixo estresse
U14,19,Female,Freelancer,iOS,9.7,4.1,10,6.0,1,36,6,2.3,sem estresse
U15,23,Male,Professional,Android,1.1,2.5,3,5.3,8,29,5,9.2,muito estressado
U16,31,Male,Business Owner,Android,11.6,5.5,9,8.9,5,29,0,7.9,estressado
U17,32,Other,Professional,Android,2.3,7.8,8,4.6,1,40,1,3.4,sem estresse
U18,50,Female,Student,Android,10.8,5.7,8,4.5,5,57,0,5.3,estressado
U19,56,Female,Business Owner,Android,3.3,4.3,2,4.5,1,19,1,5.8,sem estresse
U20,19,Other,Professional,Android,3.9,4.2,1,6.0,5,45,2,11.8,estressado
U21,53,Other,Business Owner,Android,3.3,2.6,7,8.4,1,54,6,7.5,sem estresse
U22,30,Other,Professional,iOS,9.5,6.9,2,8.4,6,28,2,3.9,estressado
U23,59,Female,Freelancer,Android,10.9,4.9,5,8.8,8,31,6,2.7,muito estressado
U24,52,Female,Student,iOS,5.5,5.1,4,8.3,8,40,2,12.5,muito estressado
